SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM23
Create Time: 2026-06-09, 15:53:53
Computer Name: Äüÿ
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

128	15:53:35.103	0.00000360	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
129	15:53:35.103	0.00000240	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
130	15:53:35.105	0.09431970	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
131	15:53:35.246	0.00001800	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 234, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 33 39 2C 22 54 22 3A 37 37 35 35 31 36 2C 22 44 22 3A 31 34 35 2C 22 50 22 3A 32 37 2C 22 58 63 	
132	15:53:35.246	0.00000200	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
133	15:53:35.246	0.00000170	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
134	15:53:35.247	0.13143620	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
135	15:53:35.433	0.00001980	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 234, Data: 4A 53 30 30 36 44 7B 22 54 57 52 22 3A 20 7B 22 61 31 36 22 3A 22 36 35 37 42 22 2C 22 52 22 3A 34 31 2C 22 54 22 3A 37 37 35 37 30 31 2C 22 44 22 3A 31 34 33 2C 22 50 22 3A 34 31 2C 22 58 63 	
136	15:53:35.433	0.00002120	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
137	15:53:35.433	0.00000290	Ai_Thinker_PDO	IRP_MJ_READ                         	COM23	SUCCESS	Length: 0, Data: 	
138	15:53:35.434	0.02289960	Ai_Thinker_PDO	IOCTL_SERIAL_WAIT_ON_MASK           	COM23	SUCCESS		
